"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14684","TC31-Đăng kí tư vấn với tất cả trường dài hơn 10 ký tự","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","16719","TC19-Đăng kí tư vấn với email chứa khoảng trắng","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","20157","TC02-Đăng kí tư vấn khi trường email rỗng","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","5634","TC02-Verify Invalid Account","chromium","2026-08-05","passed","2026-08-05","","ui\login.spec.ts","",""
"","6704","TC06-Verify - Empty Both Fields","chromium","2026-08-05","passed","2026-08-05","","ui\login.spec.ts","",""
"","13957","TC26-Đăng kí tư vấn với tất cả trường dưới 8 ký tự","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","14510","TC34-Đăng kí tư vấn với SDT chứa chữ cái in hoa","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","15994","TC15-Đăng kí tư vấn với email rất dài","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","20415","TC06-Đăng kí tư vấn với email không hợp lệ (không có @)","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","8046","TC01-Verify Login test","chromium","2026-08-05","passed","2026-08-05","","ui\login.spec.ts","",""
"","14751","TC37-Đăng kí tư vấn với SDT chứa ký tự $","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","17296","TC18-Đăng kí tư vấn với tên chỉ có 1 ký tự","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","6730","TC03-Verify - Invalid Password","chromium","2026-08-05","passed","2026-08-05","","ui\login.spec.ts","",""
"","6550","TC05-Verify - Empty Password","chromium","2026-08-05","passed","2026-08-05","","ui\login.spec.ts","",""
"","16116","TC14-Đăng kí tư vấn với tên chứa ký tự đặc biệt","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","16041","TC13-Đăng kí tư vấn với tên chứa số","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","17501","TC23-Đăng kí tư vấn với tên dưới 8 ký tự","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","15136","TC29-Đăng kí tư vấn với SDT dài hơn 10 ký tự","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","15071","TC43-Đăng kí tư vấn với SDT chứa ký tự )","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","15435","TC10-Đăng kí tư vấn với số điện thoại quá dài","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","15652","TC16-Đăng kí tư vấn với email hợp lệ chứa dấu cộng","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","16032","TC09-Đăng kí tư vấn với số điện thoại quá ngắn","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","6669","TC04-Verify - Empty Account","chromium","2026-08-05","passed","2026-08-05","","ui\login.spec.ts","",""
